Date,AAPL,AMZN,GOOG,IBM
2013-12-05,81.807144,386.649994,525.184204,176.149994
2013-12-06,80.827141,388.350006,531.438477,176.699997
2013-12-09,80.128571,388.109985,532.034607,177.990005
2013-12-10,80.511429,383.73999,534.597961,176.899994
2013-12-11,81.0,387.339996,540.186584,177.0
2013-12-12,80.305717,381.26001,536.296875,175.059998
2013-12-13,80.407143,385.320007,534.225403,173.520004
2013-12-16,79.288574,385.029999,528.562195,173.220001
2013-12-17,79.401428,390.649994,532.943726,177.360001
2013-12-18,78.528572,389.230011,532.461853,176.449997
2013-12-19,78.5,394.269989,536.893005,177.880005
2013-12-20,77.918571,396.549988,540.633728,180.119995
2013-12-23,81.14286,403.690002,550.340576,181.050003
2013-12-24,81.412857,402.519989,553.882507,181.960007
2013-12-26,81.157143,401.790009,553.40564,183.559998
2013-12-27,80.545715,404.649994,556.381287,185.839996
2013-12-30,79.637146,399.410004,556.550171,185.320007
2013-12-31,79.167145,394.579987,552.526367,186.490005
2014-01-02,79.382858,398.799988,554.125916,187.210007
2014-01-03,78.980003,398.290009,553.897461,185.830002
2014-01-06,76.778572,395.850006,552.908875,187.149994
2014-01-07,77.760002,395.040009,558.865112,186.389999
2014-01-08,76.972855,398.470001,569.297241,189.330002
2014-01-09,78.114288,403.709991,568.025513,189.020004
2014-01-10,77.118568,402.529999,565.859619,188.309998
2014-01-13,75.701431,397.980011,559.595398,186.259995
2014-01-14,76.888573,392.130005,565.298279,185.059998
2014-01-15,79.074287,398.940002,572.769714,185.820007
2014-01-16,79.271431,393.679993,570.83728,187.529999
2014-01-17,78.78286,394.26001,574.687195,188.039993
2014-01-21,77.284286,403.0,576.71405,190.229996
2014-01-22,78.701431,408.0,579.535706,181.279999
2014-01-23,78.562859,401.0,576.252014,181.429993
2014-01-24,79.14286,398.160004,571.786072,181.25
2014-01-27,78.581429,390.5,559.41156,179.610001
2014-01-28,72.68,387.399994,551.572571,178.050003
2014-01-29,71.992859,392.160004,555.944092,175.979996
2014-01-30,71.791428,393.769989,568.800476,177.169998
2014-01-31,70.739998,371.76001,581.890381,176.110001
2014-02-03,71.80143,358.980011,585.789978,176.020004
2014-02-04,72.264282,349.589996,565.318176,173.529999
2014-02-05,72.365715,346.0,567.995728,172.190002
2014-02-06,72.865715,347.399994,571.845703,173.970001
2014-02-07,74.482857,358.980011,580.042358,175.639999
2014-02-10,74.094284,361.609985,582.113892,176.970001
2014-02-11,75.80143,361.839996,586.271851,176.809998
2014-02-12,76.707146,356.429993,590.658325,179.520004
2014-02-13,76.379997,347.700012,586.559998,178.220001
2014-02-14,77.495712,359.339996,593.941956,181.259995
2014-02-18,78.0,355.279999,596.823242,183.179993
2014-02-19,77.821426,352.640015,598.755676,182.740005
2014-02-20,76.141426,348.799988,597.682678,182.960007
2014-02-21,76.112854,352.440002,600.002563,184.25
2014-02-24,74.735718,345.190002,598.785461,182.820007
2014-02-25,75.625717,353.0,604.041321,183.520004
2014-02-26,74.80143,359.859985,608.045227,183.940002
2014-02-27,73.877144,357.220001,605.258362,183.830002
2014-02-28,75.582855,360.600006,606.227051,185.380005
2014-03-03,74.774284,358.73999,599.476013,183.330002
2014-03-04,75.85714,363.899994,603.574341,185.809998
2014-03-05,75.845711,364.130005,603.599182,186.570007
2014-03-06,76.112854,374.049988,607.190796,187.369995
2014-03-07,75.870003,374.579987,609.436218,188.350006
2014-03-10,75.480003,372.690002,603.917114,187.550003
2014-03-11,76.492859,370.98999,602.963318,187.410004
2014-03-12,76.358574,366.399994,594.334412,186.009995
2014-03-13,76.777145,376.619995,600.072083,186.410004
2014-03-14,75.541428,372.799988,587.175964,183.889999
2014-03-17,75.385712,375.720001,585.814819,182.660004
2014-03-18,75.128571,377.320007,593.475037,185.990005
2014-03-19,76.03714,378.769989,601.98468,185.600006
2014-03-20,75.69857,370.640015,596.097961,184.470001
2014-03-21,75.989998,371.0,599.257385,188.5
2014-03-24,76.917145,360.089996,588.26886,187.429993
2014-03-25,77.35714,354.029999,579.232666,188.759995
2014-03-26,78.074287,357.130005,577.250549,194.979996
2014-03-27,77.145714,343.149994,564.893921,191.910004
2014-03-28,76.902855,340.049988,558.131104,189.940002
2014-03-31,77.03286,342.399994,563.789978,191.639999
2014-04-01,76.822861,338.089996,555.654724,193.119995
2014-04-02,77.482857,345.98999,596.708984,194.240005
2014-04-03,77.341431,341.820007,566.733765,193.199997
2014-04-04,77.115715,335.149994,571.507568,193.119995
2014-04-07,75.431427,320.98999,537.782959,191.720001
2014-04-08,75.027145,321.880005,539.632813,193.889999
2014-04-09,74.662857,328.470001,556.559753,193.880005
2014-04-10,75.811432,330.600006,561.910339,196.059998
2014-04-11,74.14286,314.0,529.637756,195.039993
2014-04-14,74.557144,317.670013,535.30658,196.240005
2014-04-15,74.324287,316.700012,533.884399,195.979996
2014-04-16,74.007141,321.170013,540.03064,198.050003
2014-04-17,74.285713,319.76001,545.808838,187.25
2014-04-21,75.048569,323.970001,533.168335,189.800003
2014-04-22,75.472855,332.0,525.749146,192.009995
2014-04-23,75.580002,333.059998,530.870972,191.789993
2014-04-24,81.172859,329.670013,527.171326,192.220001
2014-04-25,80.647141,316.25,519.652649,190.539993
2014-04-28,81.828575,304.0,514.351807,191.139999
2014-04-29,84.82,296.440002,514.073364,193.589996
2014-04-30,84.662857,298.100006,524.714844,194.380005
2014-05-01,84.571426,304.130005,524.227539,196.309998
2014-05-02,84.620003,310.420013,530.841125,193.75
2014-05-05,84.305717,306.369995,521.950012,191.050003
2014-05-06,85.971428,309.529999,522.357788,190.929993
2014-05-07,85.035713,295.559998,512.969421,189.339996
2014-05-08,84.035713,290.820007,505.679504,189.160004
2014-05-09,83.505714,290.570007,507.95697,188.979996
2014-05-12,83.927139,294.299988,520.647217,191.119995
2014-05-13,84.571426,302.600006,527.986816,192.789993
2014-05-14,84.632858,302.5,530.085327,191.910004
2014-05-15,84.957146,298.019989,522.825195,189.070007
